NAV_Date,UTI_Bond,AdityaBirla_Debt,HDFC_Debt,SBI_Debt
31-01-2017,1.0043,1.0057,1.0048,1.0095
28-02-2017,0.9855,0.9926,0.9955,1.0007
31-03-2017,1.0162,1.0095,1.009,1.0107
28-04-2017,1.0007,1.006,1.0022,1.0043
31-05-2017,1.0116,1.0117,1.0081,1.0096
30-06-2017,1.0138,1.0109,1.0068,1.0116
31-07-2017,1.0123,1.0097,1.0087,1.0084
31-08-2017,1.0026,1.0053,1.0041,1.0057
29-09-2017,0.9964,1.001,1.0011,1.001
31-10-2017,0.9994,1.0042,1.0064,1.0031
30-11-2017,0.9969,1.002,1.0011,1.0016
29-12-2017,0.9898,0.9994,0.9983,0.999
31-01-2018,0.9972,1.0033,1.0023,1.0022
28-02-2018,0.9993,1.0029,1.0018,1.0027
28-03-2018,1.0258,1.013,1.0132,1.0127
30-04-2018,0.991,0.997,0.9951,0.9951
31-05-2018,0.9981,1.0009,1.0004,0.9994
29-06-2018,1.0005,1.0067,1.0054,1.0047
31-07-2018,1.0068,1.0084,1.007,1.0108
31-08-2018,1.0011,1.0026,1.0033,1.0009
28-09-2018,0.9996,0.9926,0.9991,0.9991
31-10-2018,1.0026,1.0044,1.0038,1.0056
30-11-2018,1.0055,1.0083,1.0109,1.0107
31-12-2018,1.0103,1.0087,1.0078,1.0102
31-01-2019,0.9791,0.9932,1.0063,1.0057
28-02-2019,1.0054,0.9993,1.0041,1.0068
29-03-2019,1.0139,1.0127,1.0142,1.0157
30-04-2019,0.9683,0.9975,0.998,0.9962
31-05-2019,1.0173,1.0039,1.0151,1.0172
28-06-2019,0.946,1.0031,1.0028,1.0037
31-07-2019,1.0258,1.0144,1.0143,1.0177
30-08-2019,0.9975,1.0023,1.0046,1.0073
30-09-2019,0.9847,1.0085,1,1.0018
31-10-2019,0.9947,0.9758,1.0097,1.0097
29-11-2019,1.0055,0.941,1.0093,1.0096
31-12-2019,1.0012,1.0027,1.0012,1.0057
31-01-2020,0.9544,1.0031,1.0082,1.0077
28-02-2020,0.9738,1.005,1.0127,1.0124
31-03-2020,1.0033,0.996,0.9999,1.0028
30-04-2020,1.018,0.9443,0.9868,1.0001
29-05-2020,1.0204,1.0184,1.0109,1.0191
30-06-2020,1.0146,1.0165,1.017,1.0153
31-07-2020,1.0091,1.013,1.0129,1.0096
31-08-2020,0.9874,0.999,0.9991,0.9978
30-09-2020,0.9963,1.0178,1.0047,1.0043
30-10-2020,1.0114,0.9815,1.0167,1.018
27-11-2020,1.0036,1.0325,1.0092,1.0076
31-12-2020,1.0032,1.0056,1.0045,1.0054
29-01-2021,0.9986,1.0063,1.001,0.9991
26-02-2021,0.9951,1.0125,0.997,0.9962
31-03-2021,1.0044,1.0079,1.008,1.0057
30-04-2021,1.0045,1.0058,1.0055,1.0057
31-05-2021,1.0021,1.0077,1.0079,1.0051
30-06-2021,1.0008,1.0011,1.0022,1.0029
30-07-2021,1.0023,1.0065,1.0061,1.0055
31-08-2021,1.0053,1.0059,1.0076,1.0062
30-09-2021,1.075,1.0052,1.0048,1.0039
29-10-2021,1.0042,1.0012,1,1.0009
30-11-2021,1.0025,1.0049,1.0054,1.005
31-12-2021,0.9984,1.0015,1.0012,1.0009
31-01-2022,0.9993,1.0018,1.0006,1.0015
28-02-2022,1.0019,1.0442,1.007,1.0061
31-03-2022,1.0027,1.0043,1.004,1.0042
29-04-2022,0.9942,0.9998,0.9947,0.9972
31-05-2022,1.0715,0.9957,0.9907,0.992
30-06-2022,1.0011,1.0026,1.0013,1.0046
29-07-2022,1.0074,1.1619,1.0092,1.007
30-08-2022,1.0099,1.0062,1.0067,1.0066
30-09-2022,0.9966,1.0007,0.998,0.9986
31-10-2022,1.0052,1.0052,1.0044,1.0046
30-11-2022,1.01,1.009,1.0084,1.0094
30-12-2022,0.9997,1.003,1.0029,1.0024
