NAV,NAV date
17.62,28-May-15
17.92,29-May-15
17.99,01-Jun-15
17.55,02-Jun-15
17.38,03-Jun-15
17.46,04-Jun-15
17.43,05-Jun-15
17.27,08-Jun-15
17.22,09-Jun-15
17.45,10-Jun-15
17.17,11-Jun-15
17.24,12-Jun-15
17.32,15-Jun-15
17.38,16-Jun-15
17.55,17-Jun-15
17.7,18-Jun-15
17.8,19-Jun-15
18.01,22-Jun-15
18.04,23-Jun-15
17.98,24-Jun-15
18.14,25-Jun-15
18.09,26-Jun-15
17.98,29-Jun-15
18.11,30-Jun-15
18.25,01-Jul-15
18.3,02-Jul-15
18.39,03-Jul-15
18.45,06-Jul-15
18.44,07-Jul-15
18.11,08-Jul-15
18.08,09-Jul-15
18.16,10-Jul-15
18.39,13-Jul-15
18.35,14-Jul-15
18.49,15-Jul-15
18.61,16-Jul-15
18.56,17-Jul-15
18.66,20-Jul-15
18.44,21-Jul-15
18.59,22-Jul-15
18.54,23-Jul-15
18.42,24-Jul-15
18.15,27-Jul-15
18.06,28-Jul-15
18.23,29-Jul-15
18.35,30-Jul-15
18.48,31-Jul-15
18.5,03-Aug-15
18.45,04-Aug-15
18.65,05-Aug-15
18.81,06-Aug-15
18.82,07-Aug-15
18.8,10-Aug-15
18.69,11-Aug-15
18.33,12-Aug-15
18.23,13-Aug-15
18.69,14-Aug-15
18.55,17-Aug-15
18.55,18-Aug-15
18.61,19-Aug-15
18.33,20-Aug-15
18.1,21-Aug-15
16.94,24-Aug-15
17.14,25-Aug-15
17.03,26-Aug-15
17.4,27-Aug-15
17.49,28-Aug-15
17.39,31-Aug-15
17.04,01-Sep-15
17.02,02-Sep-15
17.26,03-Sep-15
16.87,04-Sep-15
16.62,07-Sep-15
16.8,08-Sep-15
17.12,09-Sep-15
17.13,10-Sep-15
17.16,11-Sep-15
17.28,14-Sep-15
17.18,15-Sep-15
17.24,16-Sep-15
17.4,18-Sep-15
17.54,21-Sep-15
17.18,22-Sep-15
17.24,23-Sep-15
17.36,24-Sep-15
17.1,28-Sep-15
17.17,29-Sep-15
17.35,30-Sep-15
17.39,01-Oct-15
17.73,05-Oct-15
17.79,06-Oct-15
17.75,07-Oct-15
17.67,08-Oct-15
17.78,09-Oct-15
17.7,12-Oct-15
17.63,13-Oct-15
17.42,14-Oct-15
17.56,15-Oct-15
17.72,16-Oct-15
17.73,19-Oct-15
17.76,20-Oct-15
17.75,21-Oct-15
17.76,23-Oct-15
17.76,26-Oct-15
17.73,27-Oct-15
17.67,28-Oct-15
17.57,29-Oct-15
17.5,30-Oct-15
17.42,02-Nov-15
17.44,03-Nov-15
17.42,04-Nov-15
17.18,05-Nov-15
17.17,06-Nov-15
17.1,09-Nov-15
16.85,10-Nov-15
16.81,13-Nov-15
16.85,16-Nov-15
16.87,17-Nov-15
16.77,18-Nov-15
17.06,19-Nov-15
17.02,20-Nov-15
17,23-Nov-15
