NAV,NAV date
25.53,15-Nov-18
25.7,16-Nov-18
25.8,19-Nov-18
25.65,20-Nov-18
25.7,21-Nov-18
25.52,22-Nov-18
25.67,26-Nov-18
25.87,27-Nov-18
25.94,28-Nov-18
26.29,29-Nov-18
26.49,30-Nov-18
26.46,03-Dec-18
26.45,04-Dec-18
26.19,05-Dec-18
25.79,06-Dec-18
26.1,07-Dec-18
25.64,10-Dec-18
25.82,11-Dec-18
26.29,12-Dec-18
26.52,13-Dec-18
26.63,14-Dec-18
26.8,17-Dec-18
26.92,18-Dec-18
27.11,19-Dec-18
27.06,20-Dec-18
26.71,21-Dec-18
26.42,24-Dec-18
26.56,26-Dec-18
26.59,27-Dec-18
26.83,28-Dec-18
26.82,31-Dec-18
26.87,01-Jan-19
26.54,02-Jan-19
26.32,03-Jan-19
26.33,04-Jan-19
26.23,07-Jan-19
26.03,08-Jan-19
26.05,09-Jan-19
26.04,10-Jan-19
25.96,11-Jan-19
25.76,14-Jan-19
25.99,15-Jan-19
25.85,16-Jan-19
25.8,17-Jan-19
25.74,18-Jan-19
25.74,21-Jan-19
25.72,22-Jan-19
25.7,23-Jan-19
25.62,24-Jan-19
25.35,25-Jan-19
25.03,28-Jan-19
25.06,29-Jan-19
25.07,30-Jan-19
25.19,31-Jan-19
25.48,01-Feb-19
25.54,04-Feb-19
25.67,05-Feb-19
26,06-Feb-19
26.12,07-Feb-19
25.94,08-Feb-19
25.76,11-Feb-19
25.61,12-Feb-19
25.61,13-Feb-19
25.49,14-Feb-19
25.31,15-Feb-19
25.01,18-Feb-19
24.95,19-Feb-19
25.24,20-Feb-19
25.39,21-Feb-19
25.32,22-Feb-19
25.64,25-Feb-19
25.79,26-Feb-19
25.85,27-Feb-19
25.74,28-Feb-19
25.78,01-Mar-19
25.98,05-Mar-19
26.1,06-Mar-19
26.01,07-Mar-19
26.08,08-Mar-19
26.48,11-Mar-19
26.65,12-Mar-19
26.81,13-Mar-19
26.73,14-Mar-19
26.99,15-Mar-19
26.91,18-Mar-19
26.91,19-Mar-19
26.82,20-Mar-19
26.68,22-Mar-19
26.41,25-Mar-19
26.74,26-Mar-19
26.72,27-Mar-19
26.94,28-Mar-19
27.1,29-Mar-19
27.19,01-Apr-19
27.32,02-Apr-19
27.42,03-Apr-19
27.28,04-Apr-19
27.49,05-Apr-19
27.41,08-Apr-19
27.49,09-Apr-19
27.35,10-Apr-19
27.33,11-Apr-19
27.36,12-Apr-19
27.55,15-Apr-19
27.71,16-Apr-19
27.57,18-Apr-19
27.21,22-Apr-19
27.24,23-Apr-19
27.69,24-Apr-19
27.48,25-Apr-19
27.62,26-Apr-19
27.63,30-Apr-19
27.64,02-May-19
27.55,03-May-19
27.32,06-May-19
27.06,07-May-19
26.73,08-May-19
26.63,09-May-19
26.6,10-May-19
26.39,13-May-19
26.3,14-May-19
26.45,15-May-19
26.64,16-May-19
27.06,17-May-19
28.09,20-May-19
27.82,21-May-19
27.97,22-May-19
27.8,23-May-19
28.17,24-May-19
28.28,27-May-19
28.31,28-May-19
28.32,29-May-19
28.6,30-May-19
28.64,31-May-19
29.06,03-Jun-19
28.92,04-Jun-19
28.58,06-Jun-19
28.61,07-Jun-19
28.68,10-Jun-19
28.75,11-Jun-19
28.54,12-Jun-19
28.59,13-Jun-19
28.42,14-Jun-19
28.13,17-Jun-19
28.11,18-Jun-19
28.12,19-Jun-19
28.45,20-Jun-19
28.22,21-Jun-19
28.18,24-Jun-19
28.33,25-Jun-19
28.53,26-Jun-19
28.58,27-Jun-19
28.59,28-Jun-19
28.74,01-Jul-19
28.87,02-Jul-19
28.82,03-Jul-19
28.91,04-Jul-19
28.56,05-Jul-19
27.86,08-Jul-19
27.89,09-Jul-19
27.66,10-Jul-19
27.89,11-Jul-19
27.82,12-Jul-19
27.98,15-Jul-19
28.15,16-Jul-19
28.21,17-Jul-19
28.08,18-Jul-19
27.56,19-Jul-19
27.24,22-Jul-19
27.19,23-Jul-19
27.11,24-Jul-19
27.14,25-Jul-19
27.48,26-Jul-19
27.3,29-Jul-19
27.13,30-Jul-19
27.3,31-Jul-19
27.06,01-Aug-19
27.18,02-Aug-19
26.98,05-Aug-19
27.35,06-Aug-19
27.2,07-Aug-19
27.44,08-Aug-19
27.88,09-Aug-19
27.25,13-Aug-19
27.46,14-Aug-19
27.56,16-Aug-19
27.54,19-Aug-19
27.47,20-Aug-19
27.32,21-Aug-19
26.79,22-Aug-19
26.9,23-Aug-19
27.49,26-Aug-19
27.59,27-Aug-19
27.46,28-Aug-19
27.27,29-Aug-19
27.49,30-Aug-19
27.02,03-Sep-19
27.05,04-Sep-19
26.98,05-Sep-19
27.16,06-Sep-19
27.42,09-Sep-19
27.49,11-Sep-19
27.3,12-Sep-19
27.44,13-Sep-19
27.33,16-Sep-19
26.92,17-Sep-19
27.03,18-Sep-19
26.74,19-Sep-19
28.43,20-Sep-19
29.7,23-Sep-19
29.43,24-Sep-19
29.2,25-Sep-19
29.45,26-Sep-19
29.48,27-Sep-19
29.33,30-Sep-19
29.23,01-Oct-19
29.03,03-Oct-19
28.82,04-Oct-19
28.69,07-Oct-19
29.09,09-Oct-19
28.87,10-Oct-19
29.07,11-Oct-19
29.07,14-Oct-19
29.3,15-Oct-19
29.45,16-Oct-19
29.76,17-Oct-19
29.91,18-Oct-19
29.85,22-Oct-19
29.78,23-Oct-19
29.89,24-Oct-19
29.76,25-Oct-19
30.3,29-Oct-19
30.37,30-Oct-19
30.46,31-Oct-19
30.4,01-Nov-19
30.47,04-Nov-19
30.48,05-Nov-19
30.49,06-Nov-19
30.61,07-Nov-19
30.38,08-Nov-19
30.38,11-Nov-19
30.42,13-Nov-19
30.53,14-Nov-19
30.48,15-Nov-19
30.38,18-Nov-19
30.31,19-Nov-19
30.3,20-Nov-19
30.23,21-Nov-19
30.11,22-Nov-19
30.44,25-Nov-19
30.34,26-Nov-19
30.58,27-Nov-19
30.62,28-Nov-19
30.5,29-Nov-19
30.32,02-Dec-19
30.39,03-Dec-19
30.33,04-Dec-19
30.29,05-Dec-19
30.11,06-Dec-19
30.09,09-Dec-19
29.92,10-Dec-19
30.1,11-Dec-19
30.26,12-Dec-19
30.44,13-Dec-19
30.37,16-Dec-19
30.69,17-Dec-19
30.9,18-Dec-19
31.03,19-Dec-19
30.99,20-Dec-19
30.98,23-Dec-19
30.83,24-Dec-19
30.78,26-Dec-19
31,27-Dec-19
30.95,30-Dec-19
30.75,31-Dec-19
30.74,01-Jan-20
30.85,02-Jan-20
30.78,03-Jan-20
30.19,06-Jan-20
30.42,07-Jan-20
30.48,08-Jan-20
30.87,09-Jan-20
30.99,10-Jan-20
31.18,13-Jan-20
31.28,14-Jan-20
31.27,15-Jan-20
31.37,16-Jan-20
31.56,17-Jan-20
31.21,20-Jan-20
31.02,21-Jan-20
30.87,22-Jan-20
31,23-Jan-20
31.31,24-Jan-20
31.18,27-Jan-20
31.12,28-Jan-20
31.45,29-Jan-20
31.35,30-Jan-20
31.41,31-Jan-20
31.1,03-Feb-20
31.73,04-Feb-20
31.95,05-Feb-20
32.12,06-Feb-20
32.12,07-Feb-20
32.39,10-Feb-20
32.47,11-Feb-20
32.71,12-Feb-20
32.6,13-Feb-20
32.4,14-Feb-20
32.17,17-Feb-20
32.05,18-Feb-20
32.42,19-Feb-20
32.29,20-Feb-20
31.7,24-Feb-20
31.61,25-Feb-20
31.38,26-Feb-20
31.34,27-Feb-20
30.48,28-Feb-20
30.34,02-Mar-20
30.7,03-Mar-20
30.41,04-Mar-20
30.75,05-Mar-20
30.4,06-Mar-20
29.27,09-Mar-20
29.33,11-Mar-20
27.41,12-Mar-20
28.03,13-Mar-20
26.43,16-Mar-20
25.82,17-Mar-20
24.26,18-Mar-20
23.59,19-Mar-20
24.61,20-Mar-20
21.66,23-Mar-20
22.08,24-Mar-20
23.13,25-Mar-20
24.02,26-Mar-20
23.9,27-Mar-20
22.97,30-Mar-20
23.39,31-Mar-20
22.56,01-Apr-20
22.56,01-Apr-20
22.01,03-Apr-20
22.01,03-Apr-20
23.36,07-Apr-20
23.36,07-Apr-20
23.43,08-Apr-20
23.43,08-Apr-20
24.43,09-Apr-20
24.43,09-Apr-20
24,13-Apr-20
24,13-Apr-20
23.94,15-Apr-20
23.94,15-Apr-20
23.96,16-Apr-20
23.96,16-Apr-20
24.58,17-Apr-20
24.58,17-Apr-20
24.67,20-Apr-20
24.67,20-Apr-20
24.11,21-Apr-20
24.11,21-Apr-20
24.68,22-Apr-20
24.68,22-Apr-20
25,23-Apr-20
25,23-Apr-20
24.5,24-Apr-20
24.5,24-Apr-20
24.98,27-Apr-20
24.98,27-Apr-20
25.18,28-Apr-20
25.18,28-Apr-20
25.51,29-Apr-20
25.51,29-Apr-20
26,30-Apr-20
26,30-Apr-20
24.61,04-May-20
24.61,04-May-20
24.31,05-May-20
24.31,05-May-20
24.55,06-May-20
24.55,06-May-20
24.28,07-May-20
24.28,07-May-20
24.52,08-May-20
24.52,08-May-20
24.54,11-May-20
24.54,11-May-20
24.39,12-May-20
24.39,12-May-20
24.78,13-May-20
24.78,13-May-20
24.37,14-May-20
24.37,14-May-20
24.32,15-May-20
24.32,15-May-20
23.58,18-May-20
23.58,18-May-20
23.78,19-May-20
23.78,19-May-20
24.26,20-May-20
24.26,20-May-20
24.37,21-May-20
24.37,21-May-20
24.22,22-May-20
24.22,22-May-20
24.01,26-May-20
24.01,26-May-20
24.31,27-May-20
24.31,27-May-20
24.78,28-May-20
24.78,28-May-20
25.01,29-May-20
25.01,29-May-20
25.65,01-Jun-20
25.65,01-Jun-20
26.1,02-Jun-20
26.1,02-Jun-20
26.29,03-Jun-20
26.29,03-Jun-20
26.14,04-Jun-20
26.14,04-Jun-20
26.43,05-Jun-20
26.43,05-Jun-20
26.48,08-Jun-20
26.48,08-Jun-20
26.14,09-Jun-20
26.14,09-Jun-20
26.27,10-Jun-20
26.27,10-Jun-20
25.84,11-Jun-20
25.84,11-Jun-20
26.14,12-Jun-20
26.14,12-Jun-20
25.75,15-Jun-20
25.75,15-Jun-20
26.02,16-Jun-20
26.02,16-Jun-20
25.9,17-Jun-20
25.9,17-Jun-20
26.37,18-Jun-20
26.37,18-Jun-20
26.79,19-Jun-20
26.79,19-Jun-20
27.05,22-Jun-20
27.05,22-Jun-20
27.58,23-Jun-20
27.58,23-Jun-20
27.11,24-Jun-20
27.11,24-Jun-20
27.03,25-Jun-20
27.03,25-Jun-20
27.1,26-Jun-20
27,29-Jun-20
27.01,30-Jun-20
27.23,01-Jul-20
27.46,02-Jul-20
27.52,03-Jul-20
28.01,06-Jul-20
28.35,07-Jul-20
27.91,08-Jul-20
28.18,09-Jul-20
28.12,10-Jul-20
28.02,13-Jul-20
27.57,14-Jul-20
27.51,15-Jul-20
27.59,16-Jul-20
27.95,17-Jul-20
28.33,20-Jul-20
28.43,21-Jul-20
28.21,22-Jul-20
28.45,23-Jul-20
28.2,24-Jul-20
28.13,27-Jul-20
28.67,28-Jul-20
28.55,29-Jul-20
28.41,30-Jul-20
28.4,31-Jul-20
27.99,03-Aug-20
28.44,04-Aug-20
28.54,05-Aug-20
28.76,06-Aug-20
28.95,07-Aug-20
29.23,10-Aug-20
29.22,11-Aug-20
29.05,12-Aug-20
29.06,13-Aug-20
28.75,14-Aug-20
28.94,17-Aug-20
29.38,18-Aug-20
29.47,19-Aug-20
29.32,20-Aug-20
29.46,21-Aug-20
29.74,24-Aug-20
29.92,25-Aug-20
30,26-Aug-20
30.01,27-Aug-20
30.03,28-Aug-20
29.2,31-Aug-20
29.62,01-Sep-20
29.82,02-Sep-20
29.82,03-Sep-20
29.49,04-Sep-20
29.53,07-Sep-20
29.35,08-Sep-20
29.21,09-Sep-20
29.59,10-Sep-20
29.62,11-Sep-20
29.6,14-Sep-20
29.84,15-Sep-20
30.03,16-Sep-20
29.74,17-Sep-20
29.66,18-Sep-20
29.07,21-Sep-20
28.83,22-Sep-20
28.73,23-Sep-20
27.91,24-Sep-20
28.52,25-Sep-20
29.03,28-Sep-20
29.11,29-Sep-20
29.22,30-Sep-20
29.65,01-Oct-20
29.66,05-Oct-20
30.03,06-Oct-20
30.09,07-Oct-20
30.31,08-Oct-20
30.4,09-Oct-20
30.34,12-Oct-20
30.32,13-Oct-20
30.55,14-Oct-20
29.83,15-Oct-20
30.07,16-Oct-20
30.2,19-Oct-20
30.3,20-Oct-20
30.21,21-Oct-20
30.15,22-Oct-20
30.33,23-Oct-20
30.05,26-Oct-20
30.77,27-Oct-20
30.43,28-Oct-20
30.58,29-Oct-20
30.37,30-Oct-20
30.33,02-Nov-20
30.62,03-Nov-20
31.02,04-Nov-20
31.54,05-Nov-20
31.87,06-Nov-20
32.28,09-Nov-20
32.57,10-Nov-20
32.88,11-Nov-20
32.82,12-Nov-20
32.95,13-Nov-20
33.44,17-Nov-20
33.73,18-Nov-20
33.44,19-Nov-20
33.98,20-Nov-20
34.44,23-Nov-20
34.62,24-Nov-20
33.95,25-Nov-20
34.31,26-Nov-20
34.49,27-Nov-20
34.89,01-Dec-20
34.85,02-Dec-20
34.95,03-Dec-20
35.11,04-Dec-20
35.27,07-Dec-20
35.4,08-Dec-20
35.75,09-Dec-20
35.68,10-Dec-20
35.66,11-Dec-20
35.8,14-Dec-20
35.97,15-Dec-20
36.26,16-Dec-20
36.5,17-Dec-20
36.67,18-Dec-20
35.74,21-Dec-20
35.92,22-Dec-20
36.27,23-Dec-20
36.59,24-Dec-20
36.82,28-Dec-20
36.93,29-Dec-20
37.16,30-Dec-20
37.21,31-Dec-20
37.36,01-Jan-21
37.64,04-Jan-21
38.12,05-Jan-21
37.8,06-Jan-21
37.79,07-Jan-21
38.42,08-Jan-21
38.63,11-Jan-21
38.54,12-Jan-21
38.05,13-Jan-21
38.07,14-Jan-21
37.48,15-Jan-21
36.9,18-Jan-21
37.59,19-Jan-21
37.94,20-Jan-21
37.96,21-Jan-21
37.67,22-Jan-21
37.15,25-Jan-21
36.47,27-Jan-21
35.93,28-Jan-21
35.21,29-Jan-21
36.65,01-Feb-21
37.75,02-Feb-21
37.88,03-Feb-21
38.37,04-Feb-21
38.47,05-Feb-21
38.9,08-Feb-21
38.73,09-Feb-21
39.01,10-Feb-21
39.27,11-Feb-21
39.35,12-Feb-21
39.98,15-Feb-21
39.96,16-Feb-21
39.55,17-Feb-21
39.37,18-Feb-21
39.04,19-Feb-21
38.29,22-Feb-21
38.34,23-Feb-21
38.74,24-Feb-21
38.68,25-Feb-21
37.44,26-Feb-21
38.03,01-Mar-21
38.54,02-Mar-21
39.4,03-Mar-21
39.18,04-Mar-21
38.93,05-Mar-21
38.6,08-Mar-21
38.86,09-Mar-21
39.05,10-Mar-21
38.76,12-Mar-21
38.41,15-Mar-21
38.45,16-Mar-21
38.03,17-Mar-21
37.56,18-Mar-21
37.79,19-Mar-21
37.69,22-Mar-21
38.03,23-Mar-21
37.42,24-Mar-21
36.76,25-Mar-21
37.2,26-Mar-21
37.69,30-Mar-21
37.48,31-Mar-21
37.9,01-Apr-21
37.42,05-Apr-21
37.58,06-Apr-21
38.02,07-Apr-21
38.29,08-Apr-21
38.2,09-Apr-21
36.86,12-Apr-21
37.07,13-Apr-21
37.32,15-Apr-21
37.51,16-Apr-21
36.88,19-Apr-21
36.77,20-Apr-21
37.05,22-Apr-21
37.03,23-Apr-21
37.3,26-Apr-21
37.72,27-Apr-21
38.54,28-Apr-21
38.67,29-Apr-21
38.08,30-Apr-21
38.2,03-May-21
37.97,04-May-21
38.26,05-May-21
38.49,06-May-21
38.65,07-May-21
38.96,10-May-21
38.64,11-May-21
38.22,12-May-21
37.86,14-May-21
38.4,17-May-21
39.18,18-May-21
39.03,19-May-21
38.77,20-May-21
39.28,21-May-21
39.34,24-May-21
39.44,25-May-21
39.85,26-May-21
39.84,27-May-21
39.81,28-May-21
40.12,31-May-21
40.18,01-Jun-21
40.5,02-Jun-21
40.76,03-Jun-21
40.79,04-Jun-21
40.79,07-Jun-21
40.76,08-Jun-21
40.51,09-Jun-21
41.06,10-Jun-21
41.08,11-Jun-21
41.23,14-Jun-21
41.42,15-Jun-21
41.2,16-Jun-21
41.09,17-Jun-21
40.99,18-Jun-21
41.09,21-Jun-21
41.2,22-Jun-21
40.9,23-Jun-21
41.1,24-Jun-21
41.24,25-Jun-21
41.22,28-Jun-21
41.13,29-Jun-21
41.17,30-Jun-21
41.31,01-Jul-21
41.53,02-Jul-21
41.87,05-Jul-21
41.79,06-Jul-21
41.93,07-Jul-21
41.75,08-Jul-21
41.77,09-Jul-21
41.71,12-Jul-21
41.73,13-Jul-21
41.89,14-Jul-21
41.89,15-Jul-21
41.94,16-Jul-21
41.66,19-Jul-21
41.67,20-Jul-21
42.13,22-Jul-21
42.14,23-Jul-21
42.16,26-Jul-21
42.02,27-Jul-21
42.01,28-Jul-21
42.22,29-Jul-21
42.06,30-Jul-21
42.38,02-Aug-21
42.88,03-Aug-21
43.02,04-Aug-21
43.03,05-Aug-21
42.84,06-Aug-21
42.81,09-Aug-21
42.91,10-Aug-21
42.81,11-Aug-21
42.97,12-Aug-21
43.2,13-Aug-21
43.29,16-Aug-21
43.44,17-Aug-21
43.48,18-Aug-21
43.29,20-Aug-21
43.45,23-Aug-21
44.01,24-Aug-21
44.14,25-Aug-21
44.26,26-Aug-21
44.6,27-Aug-21
45.32,30-Aug-21
46.08,31-Aug-21
45.94,01-Sep-21
46.31,02-Sep-21
46.5,03-Sep-21
46.57,06-Sep-21
46.45,07-Sep-21
46.64,08-Sep-21
46.66,09-Sep-21
46.81,13-Sep-21
46.99,14-Sep-21
47.36,15-Sep-21
47.62,16-Sep-21
47.49,17-Sep-21
47.35,20-Sep-21
47.99,21-Sep-21
47.97,22-Sep-21
48.6,23-Sep-21
48.42,24-Sep-21
48.28,27-Sep-21
47.71,28-Sep-21
47.37,29-Sep-21
47.31,30-Sep-21
47.05,01-Oct-21
47.82,04-Oct-21
48.09,05-Oct-21
47.75,06-Oct-21
48.22,07-Oct-21
48.49,08-Oct-21
48.78,11-Oct-21
48.91,12-Oct-21
49.71,13-Oct-21
50.31,14-Oct-21
50.07,18-Oct-21
49.57,19-Oct-21
48.78,20-Oct-21
48.43,21-Oct-21
48.16,22-Oct-21
47.58,25-Oct-21
48.19,26-Oct-21
48.17,27-Oct-21
47.7,28-Oct-21
47.32,29-Oct-21
47.81,01-Nov-21
47.7,02-Nov-21
47.64,03-Nov-21
48.18,08-Nov-21
48.21,09-Nov-21
48.25,10-Nov-21
48.06,11-Nov-21
48.64,12-Nov-21
48.67,15-Nov-21
48.79,16-Nov-21
48.56,17-Nov-21
48.1,18-Nov-21
46.62,22-Nov-21
46.86,23-Nov-21
46.81,24-Nov-21
47.03,25-Nov-21
45.84,26-Nov-21
46.03,29-Nov-21
45.98,30-Nov-21
46.3,01-Dec-21
46.86,02-Dec-21
46.41,03-Dec-21
45.47,06-Dec-21
46.1,07-Dec-21
46.82,08-Dec-21
46.84,09-Dec-21
46.84,10-Dec-21
46.44,13-Dec-21
46.31,14-Dec-21
46,15-Dec-21
46.1,16-Dec-21
45.39,17-Dec-21
44.15,20-Dec-21
44.38,21-Dec-21
45.1,22-Dec-21
45.35,23-Dec-21
45.17,24-Dec-21
45.35,27-Dec-21
45.73,28-Dec-21
45.71,29-Dec-21
45.61,30-Dec-21
46.14,31-Dec-21
46.74,03-Jan-22
47.15,04-Jan-22
47.52,05-Jan-22
47.29,06-Jan-22
47.52,07-Jan-22
47.5,10-Jan-22
47.58,11-Jan-22
47.4,12-Jan-22
47.31,13-Jan-22
47.46,14-Jan-22
47.71,17-Jan-22
47.14,18-Jan-22
46.44,19-Jan-22
46,20-Jan-22
45.1,21-Jan-22
43.37,24-Jan-22
43.32,25-Jan-22
42.56,27-Jan-22
42.72,28-Jan-22
43.46,31-Jan-22
44.12,01-Feb-22
44.9,02-Feb-22
44.36,03-Feb-22
44.17,04-Feb-22
43.35,07-Feb-22
43.29,08-Feb-22
43.81,09-Feb-22
44.09,10-Feb-22
43.29,11-Feb-22
42.18,14-Feb-22
43.37,15-Feb-22
43.25,16-Feb-22
43.22,17-Feb-22
42.87,18-Feb-22
42.74,21-Feb-22
42.54,22-Feb-22
42.63,23-Feb-22
40.66,24-Feb-22
42.12,25-Feb-22
42.45,28-Feb-22
41.98,02-Mar-22
41.68,03-Mar-22
40.76,04-Mar-22
39.65,07-Mar-22
40.22,08-Mar-22
40.89,09-Mar-22
41.5,10-Mar-22
41.58,11-Mar-22
41.86,14-Mar-22
41.63,15-Mar-22
42.26,16-Mar-22
43.08,17-Mar-22
42.62,21-Mar-22
42.92,22-Mar-22
42.87,23-Mar-22
42.55,24-Mar-22
42.4,25-Mar-22
42.37,28-Mar-22
42.73,29-Mar-22
43.28,30-Mar-22
43.11,31-Mar-22
43.61,01-Apr-22
44.45,04-Apr-22
44.35,05-Apr-22
43.92,06-Apr-22
43.63,07-Apr-22
43.93,08-Apr-22
43.81,11-Apr-22
43.37,12-Apr-22
43.21,13-Apr-22
42.62,18-Apr-22
41.95,19-Apr-22
42.24,20-Apr-22
42.84,21-Apr-22
42.54,22-Apr-22
41.98,25-Apr-22
42.52,26-Apr-22
41.77,27-Apr-22
42.23,28-Apr-22
41.9,29-Apr-22
41.79,02-May-22
40.55,04-May-22
40.57,05-May-22
39.17,06-May-22
38.83,09-May-22
38.54,10-May-22
38.12,11-May-22
37.31,12-May-22
37.24,13-May-22
37.73,16-May-22
38.68,17-May-22
38.66,18-May-22
37.58,19-May-22
38.22,20-May-22
38.01,23-May-22
37.84,24-May-22
37.35,25-May-22
37.68,26-May-22
38.27,27-May-22
39.03,30-May-22
39.3,31-May-22
39.03,01-Jun-22
39.08,02-Jun-22
38.81,03-Jun-22
38.58,06-Jun-22
38.15,07-Jun-22
38.2,08-Jun-22
38.42,09-Jun-22
37.74,10-Jun-22
36.76,13-Jun-22
36.7,14-Jun-22
36.86,15-Jun-22
36.21,16-Jun-22
35.77,17-Jun-22
35.99,20-Jun-22
36.56,21-Jun-22
36.16,22-Jun-22
36.59,23-Jun-22
36.99,24-Jun-22
37.11,27-Jun-22
36.99,28-Jun-22
36.63,29-Jun-22
36.48,30-Jun-22
36.72,01-Jul-22
36.97,04-Jul-22
37,05-Jul-22
37.78,06-Jul-22
37.98,07-Jul-22
38.1,08-Jul-22
38.14,11-Jul-22
37.77,12-Jul-22
37.85,13-Jul-22
37.8,14-Jul-22
38.06,15-Jul-22
38.63,18-Jul-22
38.75,19-Jul-22
38.9,20-Jul-22
39.34,21-Jul-22
39.31,22-Jul-22
39.13,25-Jul-22
38.75,26-Jul-22
39.21,27-Jul-22
40.4,28-Jul-22
40.94,29-Jul-22
41.29,01-Aug-22
41.47,02-Aug-22
41.38,03-Aug-22
41.45,04-Aug-22
41.62,05-Aug-22
41.8,08-Aug-22
41.59,10-Aug-22
42.09,11-Aug-22
42.02,12-Aug-22
42.34,16-Aug-22
42.68,17-Aug-22
42.79,18-Aug-22
42.26,19-Aug-22
41.4,22-Aug-22
41.51,23-Aug-22
41.68,24-Aug-22
41.64,25-Aug-22
41.74,26-Aug-22
41.22,29-Aug-22
42.32,30-Aug-22
42.16,01-Sep-22
42.21,02-Sep-22
42.21,05-Sep-22
41.97,06-Sep-22
41.96,07-Sep-22
42.32,08-Sep-22
42.33,09-Sep-22
42.53,12-Sep-22
42.82,13-Sep-22
42.69,14-Sep-22
42.54,15-Sep-22
41.61,16-Sep-22
41.77,19-Sep-22
42.14,20-Sep-22
41.84,21-Sep-22
41.84,22-Sep-22
41.14,23-Sep-22
40.44,26-Sep-22
40.45,27-Sep-22
40.29,28-Sep-22
39.89,29-Sep-22
40.39,30-Sep-22
40.02,03-Oct-22
40.9,04-Oct-22
40.85,06-Oct-22
40.77,07-Oct-22
40.51,10-Oct-22
39.95,11-Oct-22
40.15,12-Oct-22
39.92,13-Oct-22
40.15,14-Oct-22
40.34,17-Oct-22
40.56,18-Oct-22
40.64,19-Oct-22
40.85,20-Oct-22
40.42,21-Oct-22
40.43,25-Oct-22
40.33,27-Oct-22
40.36,28-Oct-22
40.87,31-Oct-22
41.3,01-Nov-22
41.07,02-Nov-22
40.99,03-Nov-22
41.08,04-Nov-22
40.87,07-Nov-22
40.76,09-Nov-22
40.37,10-Nov-22
40.87,11-Nov-22
41.04,14-Nov-22
40.96,15-Nov-22
40.86,16-Nov-22
40.52,17-Nov-22
40.38,18-Nov-22
40.03,21-Nov-22
40.23,22-Nov-22
40.35,23-Nov-22
40.64,24-Nov-22
40.58,25-Nov-22
40.83,28-Nov-22
40.86,29-Nov-22
41.16,30-Nov-22
41.32,01-Dec-22
41.15,02-Dec-22
41.09,05-Dec-22
41.02,06-Dec-22
40.82,07-Dec-22
40.67,08-Dec-22
40.34,09-Dec-22
40.3,12-Dec-22
40.55,13-Dec-22
40.82,14-Dec-22
40.37,15-Dec-22
39.82,16-Dec-22
40.18,19-Dec-22
40.13,20-Dec-22
39.82,21-Dec-22
39.6,22-Dec-22
38.86,23-Dec-22
39.29,26-Dec-22
39.61,27-Dec-22
39.52,28-Dec-22
39.62,29-Dec-22
39.45,30-Dec-22
